"num","subject","predicate","object"
"1","2s12-Mortar","prettyString","2s12"
"2","ShelterConstruction","owl#disjointWith","PathArtifactSystem"
"3","FixedSizeComputerDatatypeType","22-rdf-syntax-ns#type","SecondOrderCollection"
"4","AccessServer-TheProgram","22-rdf-syntax-ns#type","ServerProgram"
"5","Platform-Military","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"6","ChangeOfStatusEvent","owl#disjointWith","Collapsing-Generic"
"7","AccelInternationalCorporation","22-rdf-syntax-ns#type","Individual"
"8","Resigning","prettyString","has resigned"
"9","25InchTelevisionSet","prettyString","25 inch television sets"
"10","KEInteractionFolder","prettyString-Canonical","Cyc ke interaction folder"
"11","NonNegativeScalarInterval","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"12","AbdominalCavity","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"13","IslamicNationalist","22-rdf-syntax-ns#type","FirstOrderCollection"
"14","accountFullName","prettyString-Canonical","Account Full Name"
"15","SentientAnimal","22-rdf-syntax-ns#type","AnimalsByMiscellaneousCriteria-Biology-Topic"
"16","AccountSystemFn","rdf-schema#comment","(#$AccountSystemFn SYSTEM-TYPE STRING) denotes an #$AccountSystem of type SYSTEM-TYPE which is hosted on a domain uniquely identified by STRING. For example, (#$AccountSystemFn #$NISDomain "hello.world.net") denotes the #$NetworkInformationSystem account system on hello.world.net."
"17","touchesAtEnd","22-rdf-syntax-ns#type","PredicateOrCollection-UsedInUCTRepresentation"
"18","MicrosoftComputerProgram","22-rdf-syntax-ns#type","ComputerProgramTypeByCreator"
"19","abductiveExpansion","22-rdf-syntax-ns#type","UnderstandingEnrichmentRelation"
"20","availableCoreferentInUDS","rdf-schema#comment","(#$availableCoreferentInUDS UDS PEG) is true if PEG is a discourse entity that is a candidate co-reference target for anaphors in UDS. In particular, this means that PEG is either new (in the sense of #$newDiscourseReferentInUDS) or accessible from another discourse structure (cf. #$accessibleDiscourseReferentInUDS) that is super-ordinate to, i.e., "visible" to, UDS."
"21","AccessingData-MP3","rdf-schema#subClassOf","AccessingAnIBT"
"22","GasField","prettyString-Canonical","gas field"
"23","SearchEngine","rdf-schema#comment","A collection of computer programs. Each #$SearchEngine takes as input a query string (which may be natural language, a specified syntax, or just a series of words) and returns a list of 'hits' - pointers to documents the search engine believes are relevant to the query. The domain for a search engine may be the World Wide Web, Usenet newsgroups, an individual #$ComputerDisk, or any other online collection of documents."
"24","AbstractIndividual","prettyString","individuals that has been also abstract thing"
"25","AbdulMajeedDar","prettyString-Canonical","Abdul Majeed Dar"
"26","A1WebServer-TheProgram","22-rdf-syntax-ns#type","Individual"
