"num","subject","predicate","object"
"1","ShelterConstruction","owl#disjointWith","InnerTube"
"2","PoweringADevice","prettyString","will have powered"
"3","AbducensNerve","prettyString","sixth cranial nerve"
"4","AceticAnhydride","prettyString","acetyl acetate"
"5","29thGuardsTankDivision","22-rdf-syntax-ns#type","RedUnit"
"6","PhysiologicalConditionType","22-rdf-syntax-ns#type","KEClarifyingCollectionType"
"7","PuzzleGameProgram","prettyString","puzzles"
"8","AbdulAhadGuru","prettyString","Abdul Guru"
"9","negationPreds","22-rdf-syntax-ns#type","owl#SymmetricProperty"
"10","CycHLSupportModule","prettyString","Cyc HL support modules"
"11","25thInfantryDivision-Light-Washington","prettyString-Canonical","25th Infantry Division (Light), Washington"
"12","GeopoliticalEntity","22-rdf-syntax-ns#type","OrganizationByEntityType"
"13","IraqiPerson","rdf-schema#subClassOf","Person"
"14","GasField","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"15","29InchTelevisionSet","22-rdf-syntax-ns#type","TelevisionSetTypeBySize"
"16","133SignalsBatt-RRS","22-rdf-syntax-ns#type","Individual"
"17","IntermediateAdjustableRateLoan","rdf-schema#subClassOf","AdjustableRateLoan"
"18","AbsorptionEvent","prettyString","absorbs"
"19","TelevisionSetTypeBySize","rdf-schema#subClassOf","FacetInstanceCollection"
"20","3-DUltraPinballTheLostContinent-TheGame","22-rdf-syntax-ns#type","ComputerGameProgram"
"21","IslamicNationalist","prettyString","Islamic nationalist ideology human thing"
"22","ConceptualWork","prettyString-Canonical","conceptual work"
"23","NounProducingSuffix","22-rdf-syntax-ns#type","NLMorphologyCollection"
"24","PuzzleGameProgram","prettyString","puzzle"
"25","EnvelopingCovering","prettyString","enveloping coverings"
"26","DeAdjectivalAdverbProducingSuffix","rdf-schema#comment","The collection of suffixes which serve to convert #$Adjectives into #$Adverbs. Example: #$Commendable-TheWord + #$Ably-TheSuffix = #$Commendably-TheWord."
"27","AbradingSomething","rdf-schema#subClassOf","Ablation"
"28","AccidentallyLeavingSomethingSomewhere","prettyString","leaves"
"29","AbductingSomeone","prettyString","snatch"
"30","8ByteIntegerDatatype","prettyString","eight-byte integers"
"31","Helicopter","22-rdf-syntax-ns#type","ExistingObjectType"
"32","FamousHuman","prettyString","human whose Renown Level has been infamy"
"33","AviationUnit-MilitarySpecialty","22-rdf-syntax-ns#type","GenericMilitaryOrganizations-Organization-Topic"
"34","above-Touching","negationInverse","above-Touching"
"35","3DRailroadMaster-TheGame","22-rdf-syntax-ns#type","SimulationGameProgram"
"36","AccessoryFn-Artifact","resultGenl","Artifact-NonAgentive"
"37","EmployeeComputerActivityType","prettyString-Canonical","employee computer activity type"
"38","LocalProgram","rdf-schema#comment","A specialization of #$ApplicationProgram. Each instance of #$LocalProgram is a program that cannot be accessed remotely (i.e. across a #$ComputerNetwork). #$LocalProgram is dijoint with #$ServerProgram, and the two form a partition of #$ComputerProgram-CW."
"39","Abnormal-Unusual","prettyString","atypical"
"40","accelerationDueToGravityOnPlanetaryBody","22-rdf-syntax-ns#type","rdf-schema#Property"
"41","Artifact-NonAgentive","22-rdf-syntax-ns#type","ObjectType"
"42","ServiceProgram","prettyString","service programz"
"43","FacetInstanceCollection","rdf-schema#subClassOf","owl#Class"
"44","AbuMusaIncidentMt","genlMt","HPKB-CF-ReasoningMt"
"45","AccomplishmentType","rdf-schema#subClassOf","TemporalObjectType"
