Subject,module_name,Process_Name,parameters,return values,api_interface,,is_documented,is_coded,is_tested,is_in_prod,optimisation_level,O_complexity,category,desc,usage_when,ontology_link
Subject area (maths | physics | electronics | NLP | etc),this is the .py program in aikif/toolbox,"short name, remember full name will include module",list of parameters that are passed to the function : list | num | str | float | date | blob | filename,list of value(s) returned from function,has the function been added to tools with a dummy return value,,this is a CHECKLIST for djm to make sure all stuff has examples,Y or N - can be N with progress percent,enter name of the test.py that tests this particular function,has this been used publically in examples - ie is it properly finished,"how much optimasation - 0 to 10 where 0= returns orig params, 1=simple , 7=good algorithm, 10 proven best method","how complex is this function O(n), O(log n), O^n",text category - what SORT of things does this do (should allow for groupings),text description,??? how to link this to things - ie how does the AI know it should use THIS function,where does this link in onotology tree
Maths,test_tool,sum_even_numbers,,,,,,,,,,,,,,
Maths,maths_ml_algorithms,ml_entropy,,,,,,,,,,,,,,
Maths,test_tool,get_min_even_num,,,,,,,,,,,,,,
Maths,test_tool,test_function,,,,,,,,,,,,,,
Maths,solve_knapsack,solve_greedy_trivial,,,,,,,,,,,,,,
Maths,solve_knapsack,solve_smallest_items_first,,,,,,,,,,,,,,
Maths,solve_knapsack,solve_expensive_items_first,,,,,,,,,,,,,,
Maths,solve_knapsack,solve_value_density,,,,,,,,,,,,,,
Maths,solve_knapsack,main,,,,,,,,,,,,,,
Maths,game_board_utils,build_board_2048,,,,,,,,,,,,,,
Maths,game_board_utils,build_board_checkers,,,,,,,,,,,,,,
Maths,crypt_utils,solve,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataTools,cls_datatable,get_distinct_values_from_cols,l_col_list,list_uniq_vals,,,,,,,,,,,,
DataTools,cls_datatable,select_where,"where_col_list, where_value_list, col_name=''",,,,,,,,,,,,,
DataTools,cls_datatable,Dict2String,Dict,str,,,,,,,,,,,,
DataTools,cls_datatable,List2String,List,str,,,,,,,,,,,,
DataTools,cls_datatable,Dict2List,Dict,List,,,,,,,,,,,,
DataTools,cls_datatable,calc_percentiles,"col_name, where_col_list, where_value_list","first, third, median (2 numbers)",,,,,,,,,,,,
DataTools,cls_datatable,save_csv,python object,CSV file,,,,,,,,,,,,
DataTools,cls_datatable,load_csv,CSV file,python object,,,,,,,,,,,,
DataTools,cls_datatable,get_col_data_by_name,"col_name, WHERE_Clause=''",list of items,,,,,,,,,,,,
DataTools,cls_datatable,get_col_by_name,col_name,list ALL data in column,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataTools,sql_tools,excel_2_csv,"ip_file, ontology lookup",op_file,,,,,,,,,,,,
DataTools,sql_tools,DownloadFile,url,filename,,,,,,,,,,,,
DataTools,sql_tools,,,,,,,,,,,,,,,
DataTools,sql_tools,,,,,,,,,,,,,,,
DataTools,sql_tools,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
File,file_tools,Copy a file,,,,,,Y,,,,,,,,
File,file_tools,Copy a folder,,,,,,Y,,,,,,,,
File,file_tools,Rename a file,,,,,,Y,,,,,,,,
File,file_tools,Delete a file,,,,,,Y,,,,,,,,
File,file_tools,Move a file,,,,,,Y,,,,,,,,
Image,image_tools,display an image,,,,,,Y,,,,,,,,
Image,image_tools,add text to an image,,,,,,Y,,,,,,,,
Image,image_tools,resize image,,,,,,Y,,,,,,,,
