"0","DATE","catgory","event details",
"1","2014-02-10 23:24:46","FileUsage","T:\user\dev\src\python\AI\README.md",
"2","2014-02-09 15:51:57","FileUsage","T:\user\dev\src\python\AI\__init.py__",
"3","2014-02-10 22:40:13","FileUsage","T:\user\dev\src\python\AI\.gitignore",
"4","2014-02-27 23:31:42","FileUsage","T:\user\dev\src\python\AI\tests\test_AIKIF.py",
"5","2014-03-16 22:56:41","FileUsage","T:\user\dev\src\python\AI\AI\processRawData.py",
"6","2014-03-16 22:06:28","FileUsage","T:\user\dev\src\python\AI\AI\AIKIF_utils.py",
"7","2014-03-16 14:54:57","FileUsage","T:\user\dev\src\python\AI\AI\AI.py",
"8","2014-03-16 14:55:40","FileUsage","T:\user\dev\src\python\AI\AI\run_AI.BAT",
"9","2014-03-16 14:55:43","FileUsage","T:\user\dev\src\python\AI\AI\AIKIF_utils.pyc",
"10","2014-02-27 23:31:42","FileUsage","T:\user\dev\src\python\AI\AI\datGdeltproject.py",
"11","2014-02-27 23:31:41","FileUsage","T:\user\dev\src\python\AI\AI\addRawData.py",
"12","2014-02-09 23:19:44","FileUsage","T:\user\dev\src\python\AI\AI\create_word_lists.py",
"13","2014-03-16 14:53:48","FileUsage","T:\user\dev\src\python\AI\AI\AIKIF_create.py",
"14","2014-03-16 22:06:31","FileUsage","T:\user\dev\src\python\AI\AI\__pycache__\AIKIF_utils.cpython-33.pyc",
"15","2014-02-10 22:26:18","FileUsage","T:\user\dev\src\python\AI\doc\AIKIF-learning.jpg",
"16","2013-09-03 23:45:38","FileUsage","T:\user\dev\src\python\AI\doc\AIKIF-ProcessFlow.jpg",
"17","2014-02-09 15:02:35","FileUsage","T:\user\dev\src\python\AI\doc\AIKIF-data-structure.jpg",
"18","2013-09-03 22:50:39","FileUsage","T:\user\dev\src\python\AI\doc\AIKIF-Overview.jpg",
"19","2014-02-10 22:28:37","FileUsage","T:\user\dev\src\python\AI\doc\Thumbs.db",
"20","2014-03-16 23:07:23","FileUsage","T:\user\dev\src\python\AI\data\sample-events.csv",
"21","2014-02-09 22:43:35","FileUsage","T:\user\dev\src\python\AI\data\advList.txt",
"22","2014-03-16 14:55:44","FileUsage","T:\user\dev\src\python\AI\data\refAction.csv",
"23","2014-03-16 23:07:22","FileUsage","T:\user\dev\src\python\AI\data\sample-locations.csv",
"24","2014-02-09 23:20:03","FileUsage","T:\user\dev\src\python\AI\data\ontology_list.txt",
"25","2014-03-16 14:55:47","FileUsage","T:\user\dev\src\python\AI\data\goals.csv",
"26","2014-02-09 22:43:35","FileUsage","T:\user\dev\src\python\AI\data\nounList.txt",
"27","2014-03-16 14:55:44","FileUsage","T:\user\dev\src\python\AI\data\rawData.csv",
"28","2014-03-16 23:03:58","FileUsage","T:\user\dev\src\python\AI\data\medium-filelist-for-AIKIF.csv",
"29","2014-03-16 14:55:45","FileUsage","T:\user\dev\src\python\AI\data\people.csv",
"30","2014-03-16 14:55:46","FileUsage","T:\user\dev\src\python\AI\data\goal_types.csv",
"31","2014-03-16 14:55:43","FileUsage","T:\user\dev\src\python\AI\data\refObject.csv",
"32","2014-03-16 23:07:23","FileUsage","T:\user\dev\src\python\AI\data\sample-links.csv",
"33","2014-02-09 22:43:36","FileUsage","T:\user\dev\src\python\AI\data\verbList.txt",
"34","2014-03-16 14:55:48","FileUsage","T:\user\dev\src\python\AI\data\AIKIF_FileList.csv",
"35","2014-02-09 22:43:36","FileUsage","T:\user\dev\src\python\AI\data\adjList.txt",
"36","2014-03-16 14:55:48","FileUsage","T:\user\dev\src\python\AI\data\commands.csv",
"37","2014-03-16 23:06:20","FileUsage","T:\user\dev\src\python\AI\data\sample-filelist-for-AIKIF.csv",
"38","2014-03-16 23:07:22","FileUsage","T:\user\dev\src\python\AI\data\sample-objects.csv",
"39","2014-03-16 14:55:47","FileUsage","T:\user\dev\src\python\AI\data\knowledge.csv",
"40","2014-03-16 14:55:44","FileUsage","T:\user\dev\src\python\AI\data\bias.csv",
"41","2014-03-16 14:55:45","FileUsage","T:\user\dev\src\python\AI\data\websites.csv",
"42","2013-09-03 22:33:27","FileUsage","T:\user\dev\src\python\AI\.git\hooks\update.sample",
"43","2013-09-03 22:33:27","FileUsage","T:\user\dev\src\python\AI\.git\hooks\commit-msg.sample",
"44","2013-09-03 22:33:27","FileUsage","T:\user\dev\src\python\AI\.git\hooks\pre-applypatch.sample",
"45","2013-09-03 22:33:27","FileUsage","T:\user\dev\src\python\AI\.git\hooks\post-update.sample",
"46","2013-09-03 22:33:27","FileUsage","T:\user\dev\src\python\AI\.git\hooks\pre-rebase.sample",
"47","2013-09-03 22:33:27","FileUsage","T:\user\dev\src\python\AI\.git\hooks\prepare-commit-msg.sample",
"48","2013-09-03 22:33:27","FileUsage","T:\user\dev\src\python\AI\.git\hooks\pre-commit.sample",
"49","2013-09-03 22:33:27","FileUsage","T:\user\dev\src\python\AI\.git\hooks\post-commit.sample",
"50","2013-09-03 22:33:27","FileUsage","T:\user\dev\src\python\AI\.git\hooks\pre-push.sample",
"51","2013-09-03 22:33:27","FileUsage","T:\user\dev\src\python\AI\.git\hooks\post-receive.sample",
"52","2013-09-03 22:33:27","FileUsage","T:\user\dev\src\python\AI\.git\hooks\applypatch-msg.sample",
"53","2013-12-25 07:59:40","FileUsage","P:\events\Christmas2013\20131225_075940.jpg",
"54","2013-12-25 08:20:40","FileUsage","P:\events\Christmas2013\20131225_082041.jpg",
"55","2013-12-25 07:59:16","FileUsage","P:\events\Christmas2013\20131225_075917.jpg",
"56","2013-12-25 09:00:16","FileUsage","P:\events\Christmas2013\20131225_090017.jpg",
"57","2013-12-21 17:21:18","FileUsage","P:\events\Christmas2013\20131221_172118.jpg",
"58","2013-12-25 16:16:26","FileUsage","P:\events\Christmas2013\20131225_161627.jpg",
"59","2013-12-25 14:23:56","FileUsage","P:\events\Christmas2013\20131225_142356.jpg",
"60","2013-12-25 16:13:04","FileUsage","P:\events\Christmas2013\20131225_161305.jpg",
"61","2013-12-21 18:52:36","FileUsage","P:\events\Christmas2013\20131221_185237.jpg",
"62","2013-12-25 16:38:16","FileUsage","P:\events\Christmas2013\20131225_163816.jpg",
"63","2013-12-25 08:29:04","FileUsage","P:\events\Christmas2013\20131225_082905.jpg",
"64","2013-12-25 14:32:44","FileUsage","P:\events\Christmas2013\20131225_143244.jpg",
"65","2013-12-25 16:02:12","FileUsage","P:\events\Christmas2013\20131225_160212.jpg",
"66","2013-12-25 08:42:50","FileUsage","P:\events\Christmas2013\20131225_084251.jpg",
"67","2013-12-25 13:07:50","FileUsage","P:\events\Christmas2013\20131225_130751.jpg",
"68","2013-12-25 13:34:00","FileUsage","P:\events\Christmas2013\20131225_133307.mp4",
"69","2013-12-25 14:13:10","FileUsage","P:\events\Christmas2013\20131225_141311.jpg",
"70","2013-12-25 16:37:40","FileUsage","P:\events\Christmas2013\20131225_163740.jpg",
"71","2013-12-25 16:37:58","FileUsage","P:\events\Christmas2013\20131225_163759.jpg",
"72","2013-12-25 20:10:14","FileUsage","P:\events\Christmas2013\20131225_201015.jpg",
"73","2013-12-25 14:13:20","FileUsage","P:\events\Christmas2013\20131225_141320.jpg",
"74","2013-12-25 20:09:48","FileUsage","P:\events\Christmas2013\20131225_200948.jpg",
"75","2013-12-25 15:24:34","FileUsage","P:\events\Christmas2013\20131225_152423.mp4",
"76","2013-12-25 08:29:28","FileUsage","P:\events\Christmas2013\20131225_082928.jpg",
"77","2013-12-25 14:04:02","FileUsage","P:\events\Christmas2013\20131225_140402.jpg",
"78","2013-12-25 13:34:16","FileUsage","P:\events\Christmas2013\20131225_133416.jpg",
"79","2013-12-25 08:29:08","FileUsage","P:\events\Christmas2013\20131225_082909.jpg",
"80","2013-12-25 14:03:46","FileUsage","P:\events\Christmas2013\20131225_140346.jpg",
"81","2013-12-24 18:43:24","FileUsage","P:\events\Christmas2013\20131224_184325.jpg",
"82","2013-12-25 16:13:46","FileUsage","P:\events\Christmas2013\20131225_161346.jpg",
"83","2013-12-25 09:03:42","FileUsage","P:\events\Christmas2013\20131225_090343.jpg",
"84","2013-12-25 14:13:24","FileUsage","P:\events\Christmas2013\20131225_141325.jpg",
"85","2013-12-25 15:24:44","FileUsage","P:\events\Christmas2013\20131225_152445.jpg",
"86","2013-12-25 14:24:10","FileUsage","P:\events\Christmas2013\20131225_142411.jpg",
"87","2013-12-25 07:59:26","FileUsage","P:\events\Christmas2013\20131225_075927.jpg",
"88","2013-12-25 13:09:14","FileUsage","P:\events\Christmas2013\20131225_130915.jpg",
"89","2014-02-02 19:14:28","FileUsage","P:\events\Christmas2013\20131225_100041.jpg",
"90","2013-12-25 09:26:56","FileUsage","P:\events\Christmas2013\20131225_092657.jpg",
"91","2013-12-25 17:51:36","FileUsage","P:\events\Christmas2013\20131225_175136.jpg",
"92","2013-12-25 13:17:30","FileUsage","P:\events\Christmas2013\20131225_131730.jpg",
"93","2013-12-24 18:43:16","FileUsage","P:\events\Christmas2013\20131224_184317.jpg",
"94","2013-12-24 20:43:58","FileUsage","P:\events\Christmas2013\20131224_204359.jpg",
"95","2013-12-25 13:34:30","FileUsage","P:\events\Christmas2013\20131225_133430.jpg",
"96","2013-12-25 09:24:20","FileUsage","P:\events\Christmas2013\20131225_092421.jpg",
"97","2013-12-25 16:02:06","FileUsage","P:\events\Christmas2013\20131225_160207.jpg",
"98","2013-12-25 13:34:06","FileUsage","P:\events\Christmas2013\20131225_133406.jpg",
"99","2013-12-25 08:29:34","FileUsage","P:\events\Christmas2013\20131225_082934.jpg",
"100","2013-12-25 13:07:36","FileUsage","P:\events\Christmas2013\20131225_130737.jpg",
"101","2013-12-25 14:59:52","FileUsage","P:\events\Christmas2013\20131225_145952.jpg",
"102","2013-12-25 08:43:48","FileUsage","P:\events\Christmas2013\20131225_084349.jpg",
"103","2013-12-25 14:59:08","FileUsage","P:\events\Christmas2013\20131225_145909.jpg",
"104","2013-12-25 14:23:44","FileUsage","P:\events\Christmas2013\20131225_142345.jpg",
"105","2013-12-25 15:11:20","FileUsage","P:\events\Christmas2013\20131225_151120.jpg",
"106","2013-12-25 08:52:26","FileUsage","P:\events\Christmas2013\20131225_085226.jpg",
"107","2013-12-25 13:34:18","FileUsage","P:\events\Christmas2013\20131225_133419.jpg",
"108","2013-12-25 16:37:42","FileUsage","P:\events\Christmas2013\20131225_163743.jpg",
"109","2013-12-25 08:45:48","FileUsage","P:\events\Christmas2013\20131225_084549.jpg",
"110","2013-12-25 09:24:04","FileUsage","P:\events\Christmas2013\20131225_092404.jpg",
"111","2013-12-25 09:06:52","FileUsage","P:\events\Christmas2013\20131225_090652.jpg",
"112","2013-12-25 20:17:38","FileUsage","P:\events\Christmas2013\20131225_201738.jpg",
"113","2013-12-25 16:02:00","FileUsage","P:\events\Christmas2013\20131225_160201.jpg",
"114","2013-12-25 14:03:54","FileUsage","P:\events\Christmas2013\20131225_140354.jpg",
"115","2013-12-25 08:59:56","FileUsage","P:\events\Christmas2013\20131225_085957.jpg",
"116","2013-12-25 08:44:00","FileUsage","P:\events\Christmas2013\20131225_084401.jpg",
"117","2013-12-25 17:27:08","FileUsage","P:\events\Christmas2013\20131225_172709.jpg",
"118","2013-12-25 08:44:14","FileUsage","P:\events\Christmas2013\20131225_084414.jpg",
"119","2013-12-25 08:29:16","FileUsage","P:\events\Christmas2013\20131225_082916.jpg",
"120","2013-12-25 17:52:04","FileUsage","P:\events\Christmas2013\20131225_175204.jpg",
"121","2013-12-24 18:34:14","FileUsage","P:\events\Christmas2013\20131224_183415.jpg",
"122","2013-12-25 09:03:22","FileUsage","P:\events\Christmas2013\20131225_090323.jpg",
"123","2013-12-25 08:29:00","FileUsage","P:\events\Christmas2013\20131225_082900.jpg",
"124","2013-12-25 13:09:20","FileUsage","P:\events\Christmas2013\20131225_130921.jpg",
"125","2013-12-25 16:38:04","FileUsage","P:\events\Christmas2013\20131225_163804.jpg",
"126","2013-12-25 09:13:52","FileUsage","P:\events\Christmas2013\20131225_091352.jpg",
"127","2013-12-25 13:07:16","FileUsage","P:\events\Christmas2013\20131225_130716.jpg",
"128","2013-12-25 17:51:14","FileUsage","P:\events\Christmas2013\20131225_175007.mp4",
"129","2013-12-25 13:07:12","FileUsage","P:\events\Christmas2013\20131225_130713.jpg",
"130","2013-12-25 09:24:16","FileUsage","P:\events\Christmas2013\20131225_092416.jpg",
"131","2013-12-25 08:51:42","FileUsage","P:\events\Christmas2013\20131225_085142.jpg",
"132","2013-12-25 14:23:50","FileUsage","P:\events\Christmas2013\20131225_142351.jpg",
"133","2013-12-25 14:03:58","FileUsage","P:\events\Christmas2013\20131225_140358.jpg",
"134","2013-12-25 16:13:50","FileUsage","P:\events\Christmas2013\20131225_161351.jpg",
"135","2013-12-25 09:02:44","FileUsage","P:\events\Christmas2013\20131225_090245.jpg",
"136","2013-12-25 08:45:34","FileUsage","P:\events\Christmas2013\20131225_084519.mp4",
"137","2013-12-25 17:51:44","FileUsage","P:\events\Christmas2013\20131225_175144.jpg",
"138","2013-12-25 10:00:44","FileUsage","P:\events\Christmas2013\20131225_100045.jpg",
"139","2013-12-25 13:17:24","FileUsage","P:\events\Christmas2013\20131225_131724.jpg",
"140","2013-12-25 13:44:04","FileUsage","P:\events\Christmas2013\20131225_134404.jpg",
"141","2013-12-25 13:07:56","FileUsage","P:\events\Christmas2013\20131225_130756.jpg",
"142","2013-12-25 13:08:00","FileUsage","P:\events\Christmas2013\20131225_130801.jpg",
"143","2013-12-25 13:43:52","FileUsage","P:\events\Christmas2013\20131225_134353.jpg",
"144","2013-12-25 15:24:20","FileUsage","P:\events\Christmas2013\20131225_152420.jpg",
"145","2013-12-25 09:24:10","FileUsage","P:\events\Christmas2013\20131225_092411.jpg",
"146","2013-12-25 15:24:50","FileUsage","P:\events\Christmas2013\20131225_152451.jpg",
"147","2013-12-25 13:07:46","FileUsage","P:\events\Christmas2013\20131225_130746.jpg",
"148","2013-12-25 14:23:30","FileUsage","P:\events\Christmas2013\20131225_142305.mp4",
"149","2013-12-25 13:17:18","FileUsage","P:\events\Christmas2013\20131225_131719.jpg",
"150","2013-12-25 17:50:02","FileUsage","P:\events\Christmas2013\20131225_175002.jpg",
"151","2013-12-25 17:51:32","FileUsage","P:\events\Christmas2013\20131225_175133.jpg",
"152","2013-12-25 16:13:00","FileUsage","P:\events\Christmas2013\20131225_161301.jpg",
"153","2013-12-25 16:20:26","FileUsage","P:\events\Christmas2013\20131225_162027.jpg",
"154","2013-12-25 13:43:46","FileUsage","P:\events\Christmas2013\20131225_134347.jpg",
"155","2013-12-25 17:27:02","FileUsage","P:\events\Christmas2013\20131225_172703.jpg",
"156","2013-12-25 14:59:14","FileUsage","P:\events\Christmas2013\20131225_145914.jpg",
"157","2013-12-25 17:56:34","FileUsage","P:\events\Christmas2013\20131225_175634.jpg",
"158","2013-12-25 14:13:06","FileUsage","P:\events\Christmas2013\20131225_141307.jpg",
"159","2013-12-25 08:49:54","FileUsage","P:\events\Christmas2013\20131225_084954.jpg",
"160","2013-12-25 14:13:00","FileUsage","P:\events\Christmas2013\20131225_141301.jpg",
"161","2013-12-25 16:17:10","FileUsage","P:\events\Christmas2013\20131225_161710.jpg",
"162","2013-12-25 13:43:56","FileUsage","P:\events\Christmas2013\20131225_134357.jpg",
"163","2013-12-25 08:41:30","FileUsage","P:\events\Christmas2013\20131225_084131.jpg",
"164","2013-12-25 15:24:56","FileUsage","P:\events\Christmas2013\20131225_152456.jpg",
"165","2013-12-25 14:59:32","FileUsage","P:\events\Christmas2013\20131225_145932.jpg",
"166","2013-12-25 17:27:06","FileUsage","P:\events\Christmas2013\20131225_172707.jpg",
"167","2013-12-25 14:32:50","FileUsage","P:\events\Christmas2013\20131225_143251.jpg",
"168","2013-12-25 14:24:18","FileUsage","P:\events\Christmas2013\20131225_142419.jpg",
"169","2013-12-25 17:56:26","FileUsage","P:\events\Christmas2013\20131225_175429.mp4",
"170","2013-12-25 14:24:04","FileUsage","P:\events\Christmas2013\20131225_142404.jpg",
"171","2013-12-25 16:18:34","FileUsage","P:\events\Christmas2013\20131225_161834.jpg",
"172","2013-12-25 14:13:14","FileUsage","P:\events\Christmas2013\20131225_141315.jpg",
"173","2013-12-25 09:11:16","FileUsage","P:\events\Christmas2013\20131225_091116.jpg",
"174","2013-12-25 16:17:18","FileUsage","P:\events\Christmas2013\20131225_161718.jpg",
"175","2013-12-25 08:44:52","FileUsage","P:\events\Christmas2013\20131225_084453.jpg",
"176","2013-12-25 14:32:40","FileUsage","P:\events\Christmas2013\20131225_143241.jpg",
"177","2013-12-25 14:32:48","FileUsage","P:\events\Christmas2013\20131225_143248.jpg",
"178","2013-12-21 17:21:30","FileUsage","P:\events\Christmas2013\20131221_172130.jpg",
"179","2014-02-02 19:22:25","FileUsage","P:\events\Christmas2013\Thumbs.db",
"180","2013-12-25 08:56:10","FileUsage","P:\events\Christmas2013\20131225_085611.jpg",
"181","2013-12-25 08:57:04","FileUsage","P:\events\Christmas2013\20131225_085704.jpg",
"182","2013-12-25 07:59:00","FileUsage","P:\events\Christmas2013\20131225_075901.jpg",
"183","2013-12-25 08:43:00","FileUsage","P:\events\Christmas2013\20131225_084300.jpg",
"184","16/4/2014","Process","ran processRawData.py",
