"0","country_code","country_desc",
"1","COD","LABEL",
"2","WSB","West Bank",
"3","BAG","Baghdad",
"4","GZS","Gaza Strip",
"5","AFR","Africa",
"6","ASA","Asia",
"7","BLK","Balkans",
"8","CRB","Caribbean",
"9","CAU","Caucasus",
"10","CFR","Central Africa",
"11","CAS","Central Asia",
"12","CEU","Central Europe",
"13","EIN","East Indies",
"14","EAF","Eastern Africa",
"15","EEU","Eastern Europe",
"16","EUR","Europe",
"17","LAM","Latin America",
"18","MEA","Middle East",
"19","MDT","Mediterranean",
"20","NAF","North Africa",
"21","NMR","North America",
"22","PGS","Persian Gulf",
"23","SCN","Scandinavia",
"24","SAM","South America",
"25","SAS","South Asia",
"26","SEA","Southeast Asia",
"27","SAF","Southern Africa",
"28","WAF","West Africa",
"29","WST","The West",
"30","AFG","Afghanistan",
"31","ALA","Aland Islands",
"32","ALB","Albania",
"33","DZA","Algeria",
"34","ASM","American Samoa",
"35","AND","Andorra",
"36","AGO","Angola",
"37","AIA","Anguilla",
"38","ATG","Antigua and Barbuda",
"39","ARG","Argentina",
"40","ARM","Armenia",
"41","ABW","Aruba",
"42","AUS","Australia",
"43","AUT","Austria",
"44","AZE","Azerbaijan",
"45","BHS","Bahamas",
"46","BHR","Bahrain",
"47","BGD","Bangladesh",
"48","BRB","Barbados",
"49","BLR","Belarus",
"50","BEL","Belgium",
"51","BLZ","Belize",
"52","BEN","Benin",
"53","BMU","Bermuda",
"54","BTN","Bhutan",
"55","BOL","Bolivia",
"56","BIH","Bosnia and Herzegovina",
"57","BWA","Botswana",
"58","BRA","Brazil",
"59","VGB","British Virgin Islands",
"60","BRN","Brunei Darussalam",
"61","BGR","Bulgaria",
"62","BFA","Burkina Faso",
"63","BDI","Burundi",
"64","KHM","Cambodia",
"65","CMR","Cameroon",
"66","CAN","Canada",
"67","CPV","Cape Verde",
"68","CYM","Cayman Islands",
"69","CAF","Central African Republic",
"70","TCD","Chad",
"71","CHL","Chile",
"72","CHN","China",
"73","COL","Columbia",
"74","COM","Comoros",
"75","COD","Democratic Republic of the Congo",
"76","COG","People's Republic of the Congo",
"77","COK","Cook Islands",
"78","CRI","Costa Rica",
"79","CIV","Ivory Coast",
"80","HRV","Croatia",
"81","CUB","Cuba",
"82","CYP","Cyprus",
"83","CZE","Czech Republic",
"84","DNK","Denmark",
"85","DJI","Djibouti",
"86","DMA","Dominica",
"87","DOM","Dominican Republic",
"88","TMP","East Timor",
"89","ECU","Ecuador",
"90","EGY","Egypt",
"91","SLV","El Salvador",
"92","GNQ","Equatorial Guinea",
"93","ERI","Eritrea",
"94","EST","Estonia",
"95","ETH","Ethiopia",
"96","FRO","Faeroe Islands",
"97","FLK","Falkland Islands",
"98","FJI","Fiji",
"99","FIN","Finland",
"100","FRA","France",
"101","GUF","French Guiana",
"102","PYF","French Polynesia",
"103","GAB","Gabon",
"104","GMB","Gambia",
"105","GEO","Georgia",
"106","DEU","Germany",
"107","GHA","Ghana",
"108","GIB","Gibraltar",
"109","GRC","Greece",
"110","GRL","Greenland",
"111","GRD","Grenada",
"112","GLP","Guadeloupe",
"113","GUM","Guam",
"114","GTM","Guatemala",
"115","GIN","Guinea",
"116","GNB","Guinea-Bissau",
"117","GUY","Guyana",
"118","HTI","Haiti",
"119","VAT","Vatican City",
"120","HND","Honduras",
"121","HKG","Hong Kong",
"122","HUN","Hungary",
"123","ISL","Iceland",
"124","IND","India",
"125","IDN","Indonesia",
"126","IRN","Iran",
"127","IRQ","Iraq",
"128","IRL","Ireland",
"129","IMY","Isle of Man",
"130","ISR","Israel",
"131","ITA","Italy",
"132","JAM","Jamaica",
"133","JPN","Japan",
