Names,A (baby) name database from erh@xs4all.nl
AARON,To sing
ABBIE,From the name ABIGAIL
ABBOTT,Father
ABBRA,Example, Lesson
ABBY,From the name ABIGAIL
ABE,From the name ABRAHAM
ABEL,A Breath
ABENI,Girl Prayed For (Af)
ABIA,Great
ABIBA,Child born after grandmother Died (Af)
ABIE,From the name ABRAHAM
ABIGAIL,Father of Joy
ABNER,Father of Light
ABRAHAM,Father of a Multitude
ABRAM,High Father
ABRIANNA,Mother of Many Nations
ABRIENDA,Opening (Sp)
ABRIL,April (Lt)
ABSOLOM,My Father is Peace
ABU,Father (Af)
ACACIA,Thorny
ACE,Unity, One
ADA,From the name ADELAIDE
ADAH,Beautiful Addition
ADAIR,Noble, Exalted
ADALIA,God is my Refuge
ADAM,The Earth
ADAMINA,Fem. form of ADAM
ADAMMA,Beautiful Child
ADARA,Chaste One
ADDISON,Son of Adam
ADE,Crown, Royal (Af)
ADELA,Noble and Serene
ADELAIDE,Noble, Kind
ADELE,Noble, Kind
ADELINE,Noble, Kind
ADELIO,Father of the Noble Prince (Sp)
ADELLE,Noble, Kind
ADEM,Red Earth (Af)
ADEN,Fiery One
ADERES,Clothes Worn on Outside
ADIE,Decoration
ADIEL,Goat (Af)
ADILA,Just, Fair (Af)
ADINA,Noble, Adorned
ADITA,Basket (Af)
ADLAI,My Witness
ADLI,Just, Wise
ADOLFO,From the name ADOLPH
ADOLPH,Wolf
ADONAI,My Lord (Hb)
ADONIA,From ADONIS
ADORA,Beloved One
ADRIAN,(M)Dark, Rich
ADRIANA,From the name ADRIENNE
ADRIANO,Native of Adria (Greek City)
ADRIENNE,(F)Dark, Rich
ADY,From the name ADELAIDE
AELAN,Flower
AFFRICA,From the name AFRICA
AFRA,Female Deer
AFRIC,Pleasant
AFRICA,Pleasant
AFTON,From the Afton River
AGAMEMNON,Resolute
AGATHA,Good
AGGIE,From the name AGATHA
AGNES,Pure
AH CY,Lovely (Ch)
AHAVA,Cherished One (Hb)
AI,Love (Jp)
AIDA,Helper
AIDAN,Little Fire
AIKO,Beloved One (Jp)
AILEEN,Form of EILEEN
AILIS,Noble, Kind (Ir)
AILISH,Form of ELIZABETH
AIMEE,From the name AMY
AINE,Joy, Ardent
AINSLEY,My Own Meadow
AISLING,Vision, Dream (ir)
AISLINN,A Dream (Ir)
AIZZA,Life
AJA,Goat
AJANI,He Who Wins the Struggle (Af)
AJAY,From A.J.or Nat.Am name meaning Unconquerable
AKILI,Wisdom
AKUJI,Dead and Awake (Af)
AL,From the name ALBERT
ALAIR,Cheerful/Merry
ALAKE,One to be Honored (Af
ALAN,Handsome
ALANA,Fair, Beautiful
ALANNA,Form of ALANA
ALASTAIR,From the name ALEXANDER (Br)
ALAURA,From LAURA
ALBAN,White
ALBANY,White, Fair
ALBERT,Noble, Bright
ALBERTA,From the name ALBERT
ALBERTO,Form of ALBERT (Sp)
ALBIN,White (Po)
ALBINA,White-Skinned
ALDA,Long Lived
ALDAN,Of Old Age
ALDEN,Of Old Age
ALDON,Of Old Age
ALDONA,Old (Po)
ALEC,From the name ALEXANDER
ALEJANDRO,Protector
ALEM,Worl (Af)
ALENA,Form of HELEN
ALETA,From the name ALETHEA
ALETHA,Truth
ALETHEA,Truthful One
ALETTA,Winged One
ALEX,From the name ALEXANDER
ALEXA,From the name ALEXANDER
ALEXANDER,Protector of Men
ALEXANDRA,From the name ALEXANDER
ALEXANDRIA,Defender of Mankind
ALEXIA,Defender of Mankind
ALEXIS,From the name ALEX
ALFONSO,From the name ALPHONSE
ALFRED,Counselor
ALGERON,Bearded One (Fr)
ALI,Noble, Sublime
ALIA,Noble, Descender
ALICE,Truth, Noble
ALICIA,Truthful
ALIJAH,FROM ELIJAH
ALIKA,Truthful
ALIMA,Heart Sings & Dances
ALINA,Form of ADELINE
ALISHA,From the name ALICE
ALISON,Of Noble Birth
ALISSA,From the name ALICE
ALIZE,One who charms
ALKA,Noble, Brilliant (Po)
ALLEGRA,Cheerful, Full of Energy
ALLEN,From the name ALAN
ALLENE,Attractive, Peaceful
